"HostOrder","Year","Discovered","VirusFamily","VRichness","VirusCumulative","yearx","mean","sd","q0.025","median","q0.975","smin","smax","cv","var","model"
"Primates",1945,1,"Picornaviridae",27,3,16,0.331745638680097,0.0956770780319585,0.180403191197033,0.318936780593362,0.548462337351816,0.118579720595125,0.777666695897364,0.288404930996607,0.00915410326073347,"1930"
"Primates",1946,0,"NA",27,3,17,0.331964222969594,0.0936274244793134,0.183013192075469,0.320216117022691,0.544356745306151,0.121059910361818,0.769828472664744,0.282040708006926,0.00876609461462953,"1930"
"Primates",1947,0,"NA",27,3,18,0.332205436709708,0.091626988146151,0.185692692873925,0.320568719338558,0.538088089848145,0.12359197528261,0.764524815062435,0.275814234269193,0.0083955049567349,"1930"
"Primates",1948,0,"NA",27,3,19,0.332469321203704,0.0896778114600426,0.188014200114852,0.321195117721701,0.535737821256141,0.126177000367869,0.759257696487924,0.269732591071454,0.00804210986826295,"1930"
"Primates",1949,0,"NA",27,3,20,0.332755922147231,0.0877821357667657,0.190494680047231,0.321709786543091,0.532319188006844,0.128816093321823,0.75402686520917,0.263803376361626,0.00770570335977489,"1930"
"Primates",1950,0,"NA",27,3,21,0.333065289643603,0.0859424090829111,0.194002125461006,0.322726026152507,0.528233004948044,0.131510385017223,0.748832071228416,0.258034720984807,0.00738609767897444,"1930"
"Primates",1951,2,"Peribunyaviridae, Togaviridae",27,5,22,0.333397478220464,0.0841612924295027,0.195185950569081,0.323386359775403,0.522702588984765,0.134261029979925,0.743673066270238,0.252435299987031,0.00708312314340427,"1930"
"Primates",1952,0,"NA",27,5,23,0.333752546847825,0.0824416642109947,0.197778893597308,0.323541327101873,0.518115079055065,0.137069206883621,0.738549603769684,0.247014337387466,0.0067966279978784,"1930"
"Primates",1953,0,"NA",27,5,24,0.33413055895749,0.0807866220145803,0.200729749295185,0.324544720663608,0.514830313473175,0.139936119054905,0.733461438860484,0.24178160257667,0.00652647829652667,"1930"
"Primates",1954,0,"NA",27,5,25,0.33453158246388,0.0791994811180477,0.202617481554045,0.325312104842099,0.510757374272634,0.142862994988909,0.728408328363352,0.236747396268928,0.00627255780936799,"1930"
"Primates",1955,0,"NA",27,5,26,0.334955689786269,0.0776837689184222,0.205624631769006,0.325675224449767,0.506762577342214,0.145851088875725,0.723390030774362,0.231922523746323,0.00603476795337082,"1930"
"Primates",1956,2,"Paramyxoviridae, Pneumoviridae",27,7,27,0.335402957872436,0.0762432144390597,0.207391215163126,0.326488740279569,0.50494030890139,0.148901681137836,0.718406306253403,0.227318253013312,0.00581302774800043,"1930"
"Primates",1957,0,"NA",27,7,28,0.335873468223741,0.0748817320532469,0.21119145338371,0.32765938129649,0.501035859769242,0.152016078978782,0.713456916612722,0.222946255473102,0.00560727379529426,"1930"
"Primates",1958,1,"Poxviridae",27,8,29,0.336367306921657,0.0736033985937373,0.212782006636179,0.328997298061586,0.498642238270097,0.155195616943317,0.708541625305537,0.218818526887574,0.00541746028454858,"1930"
"Primates",1959,0,"NA",27,8,30,0.33688456465574,0.07241242311746,0.21486713928614,0.32975060666255,0.497752754914471,0.158441657489261,0.703660197414728,0.214947286740364,0.00524355902174206,"1930"
"Primates",1960,0,"NA",27,8,31,0.337425336753081,0.0713131087799744,0.217381592791256,0.330386033797511,0.497046350183445,0.161755591571333,0.698812399641617,0.211344854734959,0.00508555948386446,"1930"
"Primates",1961,0,"NA",27,8,32,0.33798972320923,0.0703098065589875,0.218584030756684,0.33068188162846,0.495921463450072,0.165138839237184,0.693998000294815,0.208023504062172,0.00494346889836225,"1930"
"Primates",1962,0,"NA",27,8,33,0.338577828720619,0.0694068609573768,0.220005782602821,0.330995759453264,0.492158325628904,0.168592850235896,0.689216769279144,0.204995292277831,0.00481731234795663,"1930"
"Primates",1963,0,"NA",27,8,34,0.339189762718495,0.0686085483094834,0.221302239996096,0.331848371951619,0.492562616880689,0.172119104639214,0.684468478084648,0.2022718721214,0.00470713290113472,"1930"
"Primates",1964,0,"NA",27,8,35,0.339825639404383,0.0679190088904379,0.223179440296116,0.333301878569095,0.493297981374567,0.175719113475768,0.679752899775666,0.199864286313065,0.00461299176865938,"1930"
"Primates",1965,2,"Polyomaviridae, Retroviridae",27,10,36,0.340485577787083,0.067342174649254,0.226462515744918,0.334375318786113,0.491737484310284,0.179394419378564,0.675069808979988,0.197782752170975,0.00453496848649063,"1930"
"Primates",1966,1,"Orthomyxoviridae",27,11,37,0.341169701721239,0.0668816949961508,0.227608955267402,0.335380337217136,0.489763140664114,0.183146597246007,0.670418981878084,0.196036443619481,0.00447316112555814,"1930"
