"mean","sd","q0.025","median","q0.975","mode","kld","param","model","Host","HostOrder","Domestic","VRichness"
0.0154062870214384,0.0191266998274987,-0.0212942081525625,0.0151251083301195,0.053757121085657,0.0145678680053484,1.85310424511074e-08,"yearx","1960","Didelphis marsupialis","Didelphimorphia",FALSE,15
-1.77464249591779,0.624419478962154,-3.10725134810884,-1.73632065900379,-0.652906222134793,-1.65801440707688,3.47623552597869e-06,"Intercept","1960","Didelphis marsupialis","Didelphimorphia",FALSE,15
0.159791884954311,0.104845369191397,-0.0236848399208877,0.151525880521419,0.387920666571963,0.134288969533476,3.60656099089563e-06,"yearx","1990","Didelphis marsupialis","Didelphimorphia",FALSE,15
-3.77897918989968,1.74825232210894,-7.66802006083846,-3.60095033991374,-0.828694717264913,-3.2148346145391,3.07058310498832e-06,"Intercept","1990","Didelphis marsupialis","Didelphimorphia",FALSE,15
0.0531816217787004,0.0185508049813377,0.0200733690164969,0.0519792383155935,0.0929403376256246,0.049511780198455,3.55530217754777e-06,"yearx","1930","Papio hamadryas","Primates",FALSE,15
-4.831124382766,1.22087841500006,-7.49415272561772,-4.73137099988376,-2.70978212399729,-4.52199940527704,3.5718658782265e-06,"Intercept","1930","Papio hamadryas","Primates",FALSE,15
0.0383053864668352,0.0223859933307617,-0.00335895147779271,0.0374746069872986,0.0846517285830472,0.035809279519234,2.00234078966165e-06,"yearx","1960","Papio hamadryas","Primates",FALSE,15
-2.66149262874352,0.81411718886286,-4.41668353397371,-2.60367373865617,-1.22094862684706,-2.48423739107261,3.6262515430871e-06,"Intercept","1960","Papio hamadryas","Primates",FALSE,15
-0.0344320291932226,0.0591247596435899,-0.153443482303798,-0.0334076601132841,0.0787989063549458,-0.0313745447576381,1.24963676321549e-07,"yearx","1990","Papio hamadryas","Primates",FALSE,15
-0.573910720968057,0.675235245836662,-2.01922045712731,-0.530646635748251,0.6341332380078,-0.44201152147754,3.54013769105768e-06,"Intercept","1990","Papio hamadryas","Primates",FALSE,15
0.0235625998824733,0.0134411057628327,-0.00152998104115515,0.023092195591966,0.0513136755818974,0.0221508730549647,1.79715693079171e-06,"yearx","1930","Proechimys guyannensis","Rodentia",FALSE,15
-3.00251430395526,0.769937520477411,-4.65883144868753,-2.94949577318468,-1.63536775370803,-2.84028421703166,3.61062293355535e-06,"Intercept","1930","Proechimys guyannensis","Rodentia",FALSE,15
-0.0131856313922704,0.0198301707135951,-0.052870782331577,-0.0129251150944477,0.0250194516912677,-0.0124076423846333,1.11078013693517e-12,"yearx","1960","Proechimys guyannensis","Rodentia",FALSE,15
-1.1012032240751,0.541716077701824,-2.25068752834765,-1.07069555512937,-0.120741748033424,-1.00877257856428,3.30630394203269e-06,"Intercept","1960","Proechimys guyannensis","Rodentia",FALSE,15
0.208678648402821,0.169123080559707,-0.074320584315769,0.190786403739679,0.585709414154529,0.151897383119708,2.94459920734526e-06,"yearx","1990","Proechimys guyannensis","Rodentia",FALSE,15
-5.2043709848626,2.9518207469146,-11.8771721750012,-4.8448876609238,-0.395411312603741,-4.03260019526658,2.31301251148793e-06,"Intercept","1990","Proechimys guyannensis","Rodentia",FALSE,15
0.0602571757236402,0.0184487877240302,0.0273479290077668,0.0590543206895951,0.099814884045135,0.0565851102477334,3.56214948929836e-06,"yearx","1930","Puma concolor","Carnivora",FALSE,15
-5.12480000720281,1.23979318457351,-7.82299847675809,-5.0260532920281,-2.96305352115603,-4.81929187757718,3.59709079462717e-06,"Intercept","1930","Puma concolor","Carnivora",FALSE,15
0.0482788539414136,0.0216212553247333,0.00831176990226964,0.0473762518979194,0.0933037438689732,0.0455597280282337,2.41462118216371e-06,"yearx","1960","Puma concolor","Carnivora",FALSE,15
-2.84355093990108,0.816276185393164,-4.60111017238698,-2.78663152584957,-1.39615461973493,-2.66925443659548,3.61810264677643e-06,"Intercept","1960","Puma concolor","Carnivora",FALSE,15
-0.114273934026265,0.0543867810814452,-0.227715324487088,-0.111954166567625,-0.013961917987538,-0.107306897083435,2.47755410875668e-06,"yearx","1990","Puma concolor","Carnivora",FALSE,15
0.495558958247308,0.484762230971928,-0.522869160807361,0.518895307818312,1.38309607136217,0.565842275373984,2.87645438360894e-06,"Intercept","1990","Puma concolor","Carnivora",FALSE,15
0.0357920369257716,0.0137575886630625,0.0105190099690568,0.035161326167062,0.0645831160113704,0.0338890555773714,2.73025484033974e-06,"yearx","1930","Tragelaphus strepsiceros","Cetartiodactyla",FALSE,15
-3.53298603016605,0.844601971994557,-5.35229888772045,-3.47374097722879,-2.03636936428603,-3.35150183310138,3.62110368005097e-06,"Intercept","1930","Tragelaphus strepsiceros","Cetartiodactyla",FALSE,15
0.0105785479612137,0.0182891443945515,-0.0247976837921861,0.0104002716699787,0.0469616227322762,0.0100475138029204,1.08400417572749e-07,"yearx","1960","Tragelaphus strepsiceros","Cetartiodactyla",FALSE,15
-1.56299840481605,0.581253867579088,-2.79960667398513,-1.5289467597799,-0.514457311812697,-1.4596189379748,3.3905651041947e-06,"Intercept","1960","Tragelaphus strepsiceros","Cetartiodactyla",FALSE,15
0.102393775271175,0.0917637082496936,-0.0624304262683287,0.0968910140366422,0.297926520048704,0.0856421499543062,3.43806106411343e-06,"yearx","1990","Tragelaphus strepsiceros","Cetartiodactyla",FALSE,15
-2.90528264846572,1.41976987693283,-6.04640064246473,-2.76924790703616,-0.487082390531166,-2.47709259330648,3.2606073296481e-06,"Intercept","1990","Tragelaphus strepsiceros","Cetartiodactyla",FALSE,15
0.0608467048436586,0.0172902263030136,0.0298856408744845,0.0597692539991718,0.0977944583994703,0.0575624150040514,3.5021535959225e-06,"yearx","1930","Ursus arctos","Carnivora",FALSE,15
-5.02332514907694,1.16376973838075,-7.54687521247109,-4.93438960376009,-2.98264799435946,-4.74917613302891,3.62319612398263e-06,"Intercept","1930","Ursus arctos","Carnivora",FALSE,15
0.0490691110480325,0.0202158179049158,0.0115918140005214,0.0482644590364593,0.0910658379120482,0.0466475103634471,2.24845460258393e-06,"yearx","1960","Ursus arctos","Carnivora",FALSE,15
-2.73119784573298,0.765289432706304,-4.37379602535517,-2.68017152522646,-1.36757860670492,-2.5753385228102,3.58497182019837e-06,"Intercept","1960","Ursus arctos","Carnivora",FALSE,15
-0.0836073726865692,0.0512746695918347,-0.189081354008173,-0.0819219609625614,0.0122904532415419,-0.0785738655647848,1.56952009307124e-06,"yearx","1990","Ursus arctos","Carnivora",FALSE,15
0.259968123913944,0.504701493256678,-0.803906130572821,0.285610717052822,1.1806144739612,0.33732909759548,3.03812453145895e-06,"Intercept","1990","Ursus arctos","Carnivora",FALSE,15
0.0295142856118737,0.013020527774765,0.00536464689162473,0.0290001947905663,0.0565525135830544,0.0279674499685493,2.22011658092074e-06,"yearx","1930","Aepyceros melampus","Cetartiodactyla",FALSE,14
-3.1753056426324,0.773313922950526,-4.83697267196061,-3.12291906553642,-1.79971124209235,-3.01515684549752,3.59882830513634e-06,"Intercept","1930","Aepyceros melampus","Cetartiodactyla",FALSE,14
-0.000976652442431514,0.0181605229811778,-0.0366804818589865,-0.000960454474189288,0.0346023866639956,-0.000926503530315672,9.20548671736176e-07,"yearx","1960","Aepyceros melampus","Cetartiodactyla",FALSE,14
-1.24922835912768,0.538224132998952,-2.39066669547902,-1.21917371786241,-0.274415377294311,-1.15820739202961,3.28664744777857e-06,"Intercept","1960","Aepyceros melampus","Cetartiodactyla",FALSE,14
