"Year","NumPubs","Host","Note"
1988,6,"bison bison",""
1989,19,"bison bison",""
1990,13,"bison bison",""
1991,11,"bison bison",""
1992,9,"bison bison",""
1993,14,"bison bison",""
1994,15,"bison bison",""
1995,22,"bison bison",""
1996,24,"bison bison",""
1997,21,"bison bison",""
1998,15,"bison bison",""
1999,25,"bison bison",""
2000,26,"bison bison",""
2001,27,"bison bison",""
2002,31,"bison bison",""
2003,29,"bison bison",""
2004,21,"bison bison",""
2005,29,"bison bison",""
2006,48,"bison bison",""
2007,42,"bison bison",""
2008,37,"bison bison",""
2009,39,"bison bison",""
2010,38,"bison bison",""
2011,44,"bison bison",""
2012,50,"bison bison",""
2013,61,"bison bison",""
2014,40,"bison bison",""
2015,58,"bison bison",""
2016,63,"bison bison",""
2017,46,"bison bison",""
2018,47,"bison bison",""
2019,36,"bison bison",""
2020,44,"bison bison",""
1953,1,"bison bonasus",""
1954,1,"bison bonasus",""
1958,1,"bison bonasus",""
1960,1,"bison bonasus",""
1961,1,"bison bonasus",""
1977,1,"bison bonasus",""
1978,1,"bison bonasus",""
1979,1,"bison bonasus",""
1980,1,"bison bonasus",""
1981,1,"bison bonasus",""
1986,1,"bison bonasus",""
1987,1,"bison bonasus",""
1989,4,"bison bonasus",""
1990,1,"bison bonasus",""
1991,1,"bison bonasus",""
1992,2,"bison bonasus",""
1993,1,"bison bonasus",""
1994,5,"bison bonasus",""
1995,7,"bison bonasus",""
1996,4,"bison bonasus",""
1998,4,"bison bonasus",""
1999,1,"bison bonasus",""
2000,4,"bison bonasus",""
2001,1,"bison bonasus",""
2002,4,"bison bonasus",""
2003,1,"bison bonasus",""
2004,2,"bison bonasus",""
2005,4,"bison bonasus",""
2006,8,"bison bonasus",""
2007,6,"bison bonasus",""
2008,2,"bison bonasus",""
2009,10,"bison bonasus",""
2010,3,"bison bonasus",""
2011,5,"bison bonasus",""
2012,9,"bison bonasus",""
2013,6,"bison bonasus",""
2014,10,"bison bonasus",""
2015,11,"bison bonasus",""
2016,14,"bison bonasus",""
2017,11,"bison bonasus",""
2018,10,"bison bonasus",""
2019,7,"bison bonasus",""
2020,9,"bison bonasus",""
1984,2,"bos frontalis",""
1986,1,"bos frontalis",""
1988,1,"bos frontalis",""
1992,1,"bos frontalis",""
1993,1,"bos frontalis",""
1998,1,"bos frontalis",""
2000,2,"bos frontalis",""
2004,3,"bos frontalis",""
2005,11,"bos frontalis",""
2006,15,"bos frontalis",""
2007,4,"bos frontalis",""
2008,7,"bos frontalis",""
2009,7,"bos frontalis",""
2010,8,"bos frontalis",""
2011,5,"bos frontalis",""
2012,6,"bos frontalis",""
2013,3,"bos frontalis",""
2014,2,"bos frontalis",""
2015,8,"bos frontalis",""
2016,9,"bos frontalis",""
2017,7,"bos frontalis",""
2018,4,"bos frontalis",""
2019,5,"bos frontalis",""
2020,3,"bos frontalis",""
1980,1,"bos frontalis gaurus",""
1981,1,"bos frontalis gaurus",""
1982,3,"bos frontalis gaurus",""
1983,1,"bos frontalis gaurus",""
1984,1,"bos frontalis gaurus",""
1988,3,"bos frontalis gaurus",""
1989,1,"bos frontalis gaurus",""
1992,1,"bos frontalis gaurus",""
1993,2,"bos frontalis gaurus",""
1994,2,"bos frontalis gaurus",""
1997,3,"bos frontalis gaurus",""
1998,1,"bos frontalis gaurus",""
1999,1,"bos frontalis gaurus",""
2000,1,"bos frontalis gaurus",""
2001,1,"bos frontalis gaurus",""
2002,1,"bos frontalis gaurus",""
2004,4,"bos frontalis gaurus",""
2005,2,"bos frontalis gaurus",""
2007,4,"bos frontalis gaurus",""
2008,2,"bos frontalis gaurus",""
2009,2,"bos frontalis gaurus",""
2011,6,"bos frontalis gaurus",""
2012,2,"bos frontalis gaurus",""
2013,1,"bos frontalis gaurus",""
2014,2,"bos frontalis gaurus",""
2015,2,"bos frontalis gaurus",""
2016,1,"bos frontalis gaurus",""
2017,1,"bos frontalis gaurus",""
2018,1,"bos frontalis gaurus",""
2019,5,"bos frontalis gaurus",""
2020,3,"bos frontalis gaurus",""
1966,1,"bos grunniens",""
1969,1,"bos grunniens",""
1978,1,"bos grunniens",""
1981,1,"bos grunniens",""
1983,2,"bos grunniens",""
1984,1,"bos grunniens",""
1985,1,"bos grunniens",""
1987,1,"bos grunniens",""
1992,1,"bos grunniens",""
1993,1,"bos grunniens",""
1994,1,"bos grunniens",""
1995,1,"bos grunniens",""
1997,2,"bos grunniens",""
1999,1,"bos grunniens",""
2000,4,"bos grunniens",""
2001,1,"bos grunniens",""
2002,3,"bos grunniens",""
2003,2,"bos grunniens",""
2004,2,"bos grunniens",""
2005,7,"bos grunniens",""
2006,7,"bos grunniens",""
2007,8,"bos grunniens",""
2008,10,"bos grunniens",""
2009,11,"bos grunniens",""
2010,14,"bos grunniens",""
2011,10,"bos grunniens",""
2012,15,"bos grunniens",""
2013,23,"bos grunniens",""
2014,28,"bos grunniens",""
2015,26,"bos grunniens",""
2016,16,"bos grunniens",""
2017,30,"bos grunniens",""
2018,26,"bos grunniens",""
2019,40,"bos grunniens",""
2020,35,"bos grunniens",""
2007,2,"bos grunniens mutus",""
2012,1,"bos grunniens mutus",""
2013,2,"bos grunniens mutus",""
2014,2,"bos grunniens mutus",""
2015,4,"bos grunniens mutus",""
2016,3,"bos grunniens mutus",""
2017,2,"bos grunniens mutus",""
2019,1,"bos grunniens mutus",""
2020,3,"bos grunniens mutus",""
1975,1,"bos javanicus",""
1978,1,"bos javanicus",""
1979,3,"bos javanicus",""
1980,1,"bos javanicus",""
1981,2,"bos javanicus",""
1984,2,"bos javanicus",""
1987,1,"bos javanicus",""
1989,1,"bos javanicus",""
1990,3,"bos javanicus",""
1992,3,"bos javanicus",""
1993,2,"bos javanicus",""
1994,2,"bos javanicus",""
1995,5,"bos javanicus",""
1996,2,"bos javanicus",""
1997,1,"bos javanicus",""
1998,2,"bos javanicus",""
1999,3,"bos javanicus",""
2000,2,"bos javanicus",""
2001,2,"bos javanicus",""
2002,2,"bos javanicus",""
2003,1,"bos javanicus",""
2004,2,"bos javanicus",""
2005,3,"bos javanicus",""
2006,2,"bos javanicus",""
2007,2,"bos javanicus",""
2008,4,"bos javanicus",""
2009,9,"bos javanicus",""
2010,2,"bos javanicus",""
2011,2,"bos javanicus",""
2012,2,"bos javanicus",""
2013,3,"bos javanicus",""
2014,3,"bos javanicus",""
2015,4,"bos javanicus",""
2016,1,"bos javanicus",""
2017,1,"bos javanicus",""
2018,5,"bos javanicus",""
2019,2,"bos javanicus",""
2020,5,"bos javanicus",""
1951,1,"bos taurus",""
1953,4,"bos taurus",""
1954,2,"bos taurus",""
1955,4,"bos taurus",""
1956,2,"bos taurus",""
1957,2,"bos taurus",""
1958,1,"bos taurus",""
1959,1,"bos taurus",""
1960,2,"bos taurus",""
1961,6,"bos taurus",""
1962,5,"bos taurus",""
1963,1,"bos taurus",""
1964,6,"bos taurus",""
1965,10,"bos taurus",""
1966,4,"bos taurus",""
1967,6,"bos taurus",""
1968,12,"bos taurus",""
1969,8,"bos taurus",""
1970,9,"bos taurus",""
1971,7,"bos taurus",""
1972,10,"bos taurus",""
1973,6,"bos taurus",""
1974,13,"bos taurus",""
1975,18,"bos taurus",""
1976,14,"bos taurus",""
1977,12,"bos taurus",""
1978,22,"bos taurus",""
1979,21,"bos taurus",""
1980,11,"bos taurus",""
1981,18,"bos taurus",""
1982,23,"bos taurus",""
1983,17,"bos taurus",""
1984,20,"bos taurus",""
1985,22,"bos taurus",""
1986,17,"bos taurus",""
1987,24,"bos taurus",""
1988,19,"bos taurus",""
1989,18,"bos taurus",""
1990,32,"bos taurus",""
1991,36,"bos taurus",""
1992,28,"bos taurus",""
1993,30,"bos taurus",""
1994,42,"bos taurus",""
1995,45,"bos taurus",""
1996,32,"bos taurus",""
1997,30,"bos taurus",""
1998,32,"bos taurus",""
1999,38,"bos taurus",""
2000,46,"bos taurus",""
2001,46,"bos taurus",""
2002,51,"bos taurus",""
2003,72,"bos taurus",""
2004,84,"bos taurus",""
2005,87,"bos taurus",""
2006,91,"bos taurus",""
2007,90,"bos taurus",""
2008,97,"bos taurus",""
2009,160,"bos taurus",""
2010,137,"bos taurus",""
2011,116,"bos taurus",""
2012,151,"bos taurus",""
2013,149,"bos taurus",""
2014,168,"bos taurus",""
2015,172,"bos taurus",""
2016,149,"bos taurus",""
2017,156,"bos taurus",""
2018,169,"bos taurus",""
2019,200,"bos taurus",""
2020,166,"bos taurus",""
1959,1,"bos taurus indicus",""
1964,1,"bos taurus indicus",""
1965,1,"bos taurus indicus",""
1966,1,"bos taurus indicus",""
1967,1,"bos taurus indicus",""
1968,4,"bos taurus indicus",""
1969,2,"bos taurus indicus",""
1970,1,"bos taurus indicus",""
1971,5,"bos taurus indicus",""
1972,4,"bos taurus indicus",""
1973,4,"bos taurus indicus",""
1974,2,"bos taurus indicus",""
1975,4,"bos taurus indicus",""
1976,6,"bos taurus indicus",""
1977,3,"bos taurus indicus",""
1978,11,"bos taurus indicus",""
1979,9,"bos taurus indicus",""
1980,10,"bos taurus indicus",""
1981,16,"bos taurus indicus",""
1982,12,"bos taurus indicus",""
1983,9,"bos taurus indicus",""
1984,9,"bos taurus indicus",""
1985,14,"bos taurus indicus",""
1986,8,"bos taurus indicus",""
1987,21,"bos taurus indicus",""
1988,16,"bos taurus indicus",""
1989,12,"bos taurus indicus",""
1990,23,"bos taurus indicus",""
1991,37,"bos taurus indicus",""
1992,26,"bos taurus indicus",""
1993,18,"bos taurus indicus",""
1994,27,"bos taurus indicus",""
1995,32,"bos taurus indicus",""
1996,24,"bos taurus indicus",""
1997,25,"bos taurus indicus",""
1998,20,"bos taurus indicus",""
1999,21,"bos taurus indicus",""
2000,39,"bos taurus indicus",""
2001,19,"bos taurus indicus",""
2002,35,"bos taurus indicus",""
2003,38,"bos taurus indicus",""
2004,49,"bos taurus indicus",""
2005,47,"bos taurus indicus",""
2006,46,"bos taurus indicus",""
2007,56,"bos taurus indicus",""
2008,60,"bos taurus indicus",""
2009,67,"bos taurus indicus",""
2010,61,"bos taurus indicus",""
2011,63,"bos taurus indicus",""
2012,75,"bos taurus indicus",""
2013,74,"bos taurus indicus",""
2014,95,"bos taurus indicus",""
2015,87,"bos taurus indicus",""
2016,82,"bos taurus indicus",""
2017,77,"bos taurus indicus",""
2018,113,"bos taurus indicus",""
2019,117,"bos taurus indicus",""
2020,122,"bos taurus indicus",""
1968,1,"bos taurus primigenius",""
1971,1,"bos taurus primigenius",""
1972,2,"bos taurus primigenius",""
1975,2,"bos taurus primigenius",""
1976,1,"bos taurus primigenius",""
1986,2,"bos taurus primigenius",""
1987,2,"bos taurus primigenius",""
1989,1,"bos taurus primigenius",""
1990,2,"bos taurus primigenius",""
1991,1,"bos taurus primigenius",""
1992,2,"bos taurus primigenius",""
1993,1,"bos taurus primigenius",""
1994,1,"bos taurus primigenius",""
1995,2,"bos taurus primigenius",""
1996,2,"bos taurus primigenius",""
1997,1,"bos taurus primigenius",""
1998,3,"bos taurus primigenius",""
1999,2,"bos taurus primigenius",""
2001,3,"bos taurus primigenius",""
2002,2,"bos taurus primigenius",""
2004,1,"bos taurus primigenius",""
2005,3,"bos taurus primigenius",""
2006,2,"bos taurus primigenius",""
2007,3,"bos taurus primigenius",""
2008,4,"bos taurus primigenius",""
2009,4,"bos taurus primigenius",""
2010,6,"bos taurus primigenius",""
2011,4,"bos taurus primigenius",""
2012,7,"bos taurus primigenius",""
2013,4,"bos taurus primigenius",""
2014,8,"bos taurus primigenius",""
2015,5,"bos taurus primigenius",""
2016,2,"bos taurus primigenius",""
2017,2,"bos taurus primigenius",""
2018,3,"bos taurus primigenius",""
2019,9,"bos taurus primigenius",""
2020,1,"bos taurus primigenius",""
1978,1,"boselaphus tragocamelus",""
1987,1,"boselaphus tragocamelus",""
1990,1,"boselaphus tragocamelus",""
1993,1,"boselaphus tragocamelus",""
1995,1,"boselaphus tragocamelus",""
1996,1,"boselaphus tragocamelus",""
1999,1,"boselaphus tragocamelus",""
2000,1,"boselaphus tragocamelus",""
2004,1,"boselaphus tragocamelus",""
2005,1,"boselaphus tragocamelus",""
2006,1,"boselaphus tragocamelus",""
2007,3,"boselaphus tragocamelus",""
2008,2,"boselaphus tragocamelus",""
2011,1,"boselaphus tragocamelus",""
2013,1,"boselaphus tragocamelus",""
2014,1,"boselaphus tragocamelus",""
2015,3,"boselaphus tragocamelus",""
2016,1,"boselaphus tragocamelus",""
2017,4,"boselaphus tragocamelus",""
2018,2,"boselaphus tragocamelus",""
2019,1,"boselaphus tragocamelus",""
2020,2,"boselaphus tragocamelus",""
1965,1,"bubalus bubalis",""
1966,2,"bubalus bubalis",""
1967,1,"bubalus bubalis",""
1968,4,"bubalus bubalis",""
1969,6,"bubalus bubalis",""
1970,1,"bubalus bubalis",""
1971,7,"bubalus bubalis",""
1972,3,"bubalus bubalis",""
1973,11,"bubalus bubalis",""
1974,9,"bubalus bubalis",""
1975,17,"bubalus bubalis",""
1976,9,"bubalus bubalis",""
1977,12,"bubalus bubalis",""
1978,23,"bubalus bubalis",""
1979,18,"bubalus bubalis",""
1980,19,"bubalus bubalis",""
1981,14,"bubalus bubalis",""
1982,18,"bubalus bubalis",""
1983,22,"bubalus bubalis",""
1984,12,"bubalus bubalis",""
1985,10,"bubalus bubalis",""
1986,13,"bubalus bubalis",""
1987,12,"bubalus bubalis",""
1988,17,"bubalus bubalis",""
1989,27,"bubalus bubalis",""
1990,20,"bubalus bubalis",""
1991,11,"bubalus bubalis",""
1992,28,"bubalus bubalis",""
1993,20,"bubalus bubalis",""
1994,15,"bubalus bubalis",""
1995,10,"bubalus bubalis",""
1996,14,"bubalus bubalis",""
1997,16,"bubalus bubalis",""
1998,21,"bubalus bubalis",""
1999,18,"bubalus bubalis",""
2000,30,"bubalus bubalis",""
2001,23,"bubalus bubalis",""
2002,25,"bubalus bubalis",""
2003,29,"bubalus bubalis",""
2004,35,"bubalus bubalis",""
2005,42,"bubalus bubalis",""
2006,31,"bubalus bubalis",""
2007,69,"bubalus bubalis",""
2008,67,"bubalus bubalis",""
2009,70,"bubalus bubalis",""
2010,67,"bubalus bubalis",""
2011,83,"bubalus bubalis",""
2012,101,"bubalus bubalis",""
2013,69,"bubalus bubalis",""
2014,98,"bubalus bubalis",""
2015,105,"bubalus bubalis",""
2016,113,"bubalus bubalis",""
2017,106,"bubalus bubalis",""
2018,80,"bubalus bubalis",""
2019,103,"bubalus bubalis",""
2020,84,"bubalus bubalis",""
1977,2,"bubalus bubalis arnee",""
1978,1,"bubalus bubalis arnee",""
1979,1,"bubalus bubalis arnee",""
1981,1,"bubalus bubalis arnee",""
1998,1,"bubalus bubalis arnee",""
2000,1,"bubalus bubalis arnee",""
2007,1,"bubalus bubalis arnee",""
2008,1,"bubalus bubalis arnee",""
2011,1,"bubalus bubalis arnee",""
2014,1,"bubalus bubalis arnee",""
2015,2,"bubalus bubalis arnee",""
2020,3,"bubalus bubalis arnee",""
2015,1,"bubalus carabanensis",""
2017,1,"bubalus carabanensis",""
2019,1,"bubalus carabanensis",""
2020,1,"bubalus carabanensis",""
1998,1,"budorcas taxicolor",""
2004,2,"budorcas taxicolor",""
2005,1,"budorcas taxicolor",""
2007,2,"budorcas taxicolor",""
2009,2,"budorcas taxicolor",""
2012,3,"budorcas taxicolor",""
2014,1,"budorcas taxicolor",""
2015,2,"budorcas taxicolor",""
2017,3,"budorcas taxicolor",""
2018,3,"budorcas taxicolor",""
2019,2,"budorcas taxicolor",""
2020,4,"budorcas taxicolor",""
1951,1,"capra hircus",""
1953,1,"capra hircus",""
1956,1,"capra hircus",""
1960,1,"capra hircus",""
1962,2,"capra hircus",""
1964,1,"capra hircus",""
1965,1,"capra hircus",""
1966,1,"capra hircus",""
1967,1,"capra hircus",""
1968,4,"capra hircus",""
1969,4,"capra hircus",""
1970,4,"capra hircus",""
1971,3,"capra hircus",""
1972,4,"capra hircus",""
1973,5,"capra hircus",""
1974,1,"capra hircus",""
1975,5,"capra hircus",""
1976,1,"capra hircus",""
1977,8,"capra hircus",""
1978,7,"capra hircus",""
1979,7,"capra hircus",""
1980,10,"capra hircus",""
1981,7,"capra hircus",""
1982,4,"capra hircus",""
1983,6,"capra hircus",""
1984,6,"capra hircus",""
1985,6,"capra hircus",""
1986,6,"capra hircus",""
1987,9,"capra hircus",""
1988,14,"capra hircus",""
1989,17,"capra hircus",""
1990,7,"capra hircus",""
1991,10,"capra hircus",""
1992,10,"capra hircus",""
1993,12,"capra hircus",""
1994,11,"capra hircus",""
1995,11,"capra hircus",""
1996,11,"capra hircus",""
1997,12,"capra hircus",""
1998,11,"capra hircus",""
1999,11,"capra hircus",""
2000,15,"capra hircus",""
2001,18,"capra hircus",""
2002,13,"capra hircus",""
2003,20,"capra hircus",""
2004,20,"capra hircus",""
2005,21,"capra hircus",""
2006,32,"capra hircus",""
2007,25,"capra hircus",""
2008,32,"capra hircus",""
2009,30,"capra hircus",""
2010,30,"capra hircus",""
2011,36,"capra hircus",""
2012,36,"capra hircus",""
2013,47,"capra hircus",""
2014,83,"capra hircus",""
2015,52,"capra hircus",""
2016,63,"capra hircus",""
2017,50,"capra hircus",""
2018,61,"capra hircus",""
2019,59,"capra hircus",""
2020,44,"capra hircus",""
1971,1,"capra hircus aegagrus",""
1972,2,"capra hircus aegagrus",""
1975,1,"capra hircus aegagrus",""
1979,3,"capra hircus aegagrus",""
1982,1,"capra hircus aegagrus",""
1985,1,"capra hircus aegagrus",""
1990,1,"capra hircus aegagrus",""
1991,1,"capra hircus aegagrus",""
1994,1,"capra hircus aegagrus",""
1997,1,"capra hircus aegagrus",""
1998,1,"capra hircus aegagrus",""
2000,6,"capra hircus aegagrus",""
2001,3,"capra hircus aegagrus",""
2002,1,"capra hircus aegagrus",""
2003,2,"capra hircus aegagrus",""
2004,1,"capra hircus aegagrus",""
2005,2,"capra hircus aegagrus",""
2006,2,"capra hircus aegagrus",""
2007,4,"capra hircus aegagrus",""
2008,3,"capra hircus aegagrus",""
2009,2,"capra hircus aegagrus",""
2010,1,"capra hircus aegagrus",""
2011,8,"capra hircus aegagrus",""
2012,5,"capra hircus aegagrus",""
2014,6,"capra hircus aegagrus",""
2015,8,"capra hircus aegagrus",""
2016,9,"capra hircus aegagrus",""
2017,8,"capra hircus aegagrus",""
2018,12,"capra hircus aegagrus",""
2019,16,"capra hircus aegagrus",""
2020,12,"capra hircus aegagrus",""
1957,1,"capra ibex",""
1958,2,"capra ibex",""
1963,1,"capra ibex",""
1967,1,"capra ibex",""
1973,2,"capra ibex",""
1974,1,"capra ibex",""
1975,2,"capra ibex",""
1977,1,"capra ibex",""
1978,2,"capra ibex",""
1982,2,"capra ibex",""
1983,1,"capra ibex",""
