Year,NumPubs,Host,Note
1992,1,akodon molinae,
2001,1,akodon molinae,
2010,1,akodon molinae,
1995,1,akodon montensis,
1997,2,akodon montensis,
1998,1,akodon montensis,
1999,1,akodon montensis,
2000,1,akodon montensis,
2001,1,akodon montensis,
2004,2,akodon montensis,
2006,1,akodon montensis,
2007,1,akodon montensis,
2008,1,akodon montensis,
2009,4,akodon montensis,
2010,3,akodon montensis,
2011,5,akodon montensis,
2012,5,akodon montensis,
2013,6,akodon montensis,
2014,7,akodon montensis,
2015,4,akodon montensis,
2016,2,akodon montensis,
2017,4,akodon montensis,
2018,6,akodon montensis,
2019,2,akodon montensis,
2020,2,akodon montensis,
2006,1,akodon paranaensis,
2008,2,akodon paranaensis,
2009,1,akodon paranaensis,
2010,1,akodon paranaensis,
2011,1,akodon paranaensis,
2012,3,akodon paranaensis,
2013,1,akodon paranaensis,
2014,2,akodon paranaensis,
1999,1,akodon serrensis,
2006,1,akodon serrensis,
2008,1,akodon serrensis,
2011,1,akodon serrensis,
2012,2,akodon serrensis,
2014,2,akodon serrensis,
1996,1,akodon simulator,
2004,1,akodon simulator,
2006,1,akodon simulator,
2002,1,akodon varius,
1973,1,alcelaphus buselaphus,
1975,3,alcelaphus buselaphus,
1978,2,alcelaphus buselaphus,
1981,1,alcelaphus buselaphus,
1984,2,alcelaphus buselaphus,
1986,1,alcelaphus buselaphus,
1989,1,alcelaphus buselaphus,
1992,1,alcelaphus buselaphus,
1993,1,alcelaphus buselaphus,
1994,1,alcelaphus buselaphus,
1995,1,alcelaphus buselaphus,
1999,2,alcelaphus buselaphus,
2001,1,alcelaphus buselaphus,
2002,1,alcelaphus buselaphus,
2003,1,alcelaphus buselaphus,
2005,1,alcelaphus buselaphus,
2007,1,alcelaphus buselaphus,
2008,1,alcelaphus buselaphus,
2009,2,alcelaphus buselaphus,
2010,1,alcelaphus buselaphus,
2015,1,alcelaphus buselaphus,
2017,1,alcelaphus buselaphus,
2018,1,alcelaphus buselaphus,
2020,1,alcelaphus buselaphus,
NA,NA,alces alces,Lookup error
1968,1,alces americanus,
1980,1,alces americanus,
1981,3,alces americanus,
1982,1,alces americanus,
1983,3,alces americanus,
1984,1,alces americanus,
1994,1,alces americanus,
1995,2,alces americanus,
1996,1,alces americanus,
1998,1,alces americanus,
2000,1,alces americanus,
2005,1,alces americanus,
2006,1,alces americanus,
2007,2,alces americanus,
2009,1,alces americanus,
2010,1,alces americanus,
2011,3,alces americanus,
2012,2,alces americanus,
2014,4,alces americanus,
2015,3,alces americanus,
2016,5,alces americanus,
2017,3,alces americanus,
2018,6,alces americanus,
2019,2,alces americanus,
2020,3,alces americanus,
1953,1,allenopithecus nigroviridis,
1994,1,allenopithecus nigroviridis,
1995,1,allenopithecus nigroviridis,
2001,1,allenopithecus nigroviridis,
2003,1,allenopithecus nigroviridis,
2004,2,allenopithecus nigroviridis,
2008,1,allenopithecus nigroviridis,
2012,1,allenopithecus nigroviridis,
2015,1,allenopithecus nigroviridis,
2017,1,allenopithecus nigroviridis,
1994,1,allochrocebus lhoesti,
1998,1,allochrocebus lhoesti,
1999,2,allochrocebus lhoesti,
2000,1,allochrocebus lhoesti,
