"Year","NumPubs","Host","Note","VirusRelated"
2008,1,"Apodemus peninsulae","",TRUE
2012,2,"Apodemus peninsulae","",TRUE
2015,1,"Apodemus peninsulae","",TRUE
2016,1,"Apodemus peninsulae","",TRUE
2008,2,"Apodemus ponticus","",TRUE
2011,1,"Apodemus ponticus","",TRUE
2012,1,"Apodemus ponticus","",TRUE
2014,1,"Apodemus ponticus","",TRUE
2015,1,"Apodemus ponticus","",TRUE
2019,1,"Apodemus ponticus","",TRUE
1995,1,"Apodemus speciosus","",TRUE
1999,1,"Apodemus speciosus","",TRUE
2004,1,"Apodemus speciosus","",TRUE
2007,1,"Apodemus speciosus","",TRUE
2013,1,"Apodemus speciosus","",TRUE
2014,1,"Apodemus speciosus","",TRUE
1964,1,"Apodemus sylvaticus","",TRUE
1965,1,"Apodemus sylvaticus","",TRUE
1966,2,"Apodemus sylvaticus","",TRUE
1967,2,"Apodemus sylvaticus","",TRUE
1969,1,"Apodemus sylvaticus","",TRUE
1972,1,"Apodemus sylvaticus","",TRUE
1980,1,"Apodemus sylvaticus","",TRUE
1981,1,"Apodemus sylvaticus","",TRUE
1982,2,"Apodemus sylvaticus","",TRUE
1984,1,"Apodemus sylvaticus","",TRUE
1985,2,"Apodemus sylvaticus","",TRUE
1986,1,"Apodemus sylvaticus","",TRUE
1988,2,"Apodemus sylvaticus","",TRUE
1989,1,"Apodemus sylvaticus","",TRUE
1990,1,"Apodemus sylvaticus","",TRUE
1991,1,"Apodemus sylvaticus","",TRUE
1995,2,"Apodemus sylvaticus","",TRUE
1996,2,"Apodemus sylvaticus","",TRUE
1997,1,"Apodemus sylvaticus","",TRUE
1998,1,"Apodemus sylvaticus","",TRUE
1999,1,"Apodemus sylvaticus","",TRUE
2000,2,"Apodemus sylvaticus","",TRUE
2001,1,"Apodemus sylvaticus","",TRUE
2002,2,"Apodemus sylvaticus","",TRUE
2003,1,"Apodemus sylvaticus","",TRUE
2004,1,"Apodemus sylvaticus","",TRUE
