"Host","Synonym"
"microtus majori","microtus vinogradovi"
"microtus majori","arbusticola rubelianus ciscaucasicus"
"microtus majori","microtus rubelianus colchicus"
"microtus maximowiczii","microtus maximowiczii"
"microtus maximowiczii","microtus michnoi ungurensis"
"microtus montanus","microtus montanus"
"microtus montanus","microtus dutcheri"
"microtus montanus","arvicola longirostris"
"microtus montanus","arvicola nanus"
"microtus montanus","microtus nevadensis"
"microtus montanus","microtus montanus amosus"
"microtus montanus","microtus montanus arizonensis"
"microtus montanus","microtus nanus canescens"
"microtus montanus","microtus montanus caryi"
"microtus montanus","microtus montanus codiensis"
"microtus montanus","microtus montanus fucosus"
"microtus montanus","microtus montanus fusus"
"microtus montanus","microtus montanus micropus"
"microtus montanus","microtus montanus nexus"
"microtus montanus","microtus montanus pratincolus"
"microtus montanus","microtus nevadensis rivularis"
"microtus montanus","microtus montanus undosus"
"microtus montanus","microtus montanus yosemite"
"microtus montanus","microtus montanus zygomaticus"
"microtus montanus","microtus montanus nevadensis"
"microtus montanus","microtus montanus rivularis"
"microtus montebelli","microtus montebelli"
"microtus montebelli","arvicola hatanedzumi"
"microtus montebelli","microtus montebelli brevicorpus"
"microtus obscurus","lookup fail"
"microtus ochrogaster","microtus ochrogaster"
"microtus ochrogaster","hypudaeus ochrogaster"
"microtus ochrogaster","microtus ludovicianus"
"microtus ochrogaster","arvicola austerus"
"microtus ochrogaster","arvicola cinnamonea"
"microtus ochrogaster","arvicola haydenii"
"microtus ochrogaster","arvicola austerus minor"
"microtus ochrogaster","microtus ochrogaster ohioensis"
"microtus ochrogaster","microtus ochrogaster similis"
"microtus ochrogaster","microtus ochrogaster taylori"
"microtus ochrogaster","microtus ochrogaster ludovicianus"
"microtus oeconomus","microtus oeconomus"
"microtus oeconomus","microtus ratticeps"
"microtus oeconomus","microtus amakensis"
"microtus oeconomus","arvicola arenicola"
"microtus oeconomus","microtus elymocetes"
"microtus oeconomus","microtus innuitus"
"microtus oeconomus","microtus kadiacensis"
"microtus oeconomus","microtus koreni"
"microtus oeconomus","microtus macfarlani"
"microtus oeconomus","lemmus medius"
"microtus oeconomus","arvicola operarius"
"microtus oeconomus","arvicola ouralensis"
"microtus oeconomus","arvicola ratticeps"
"microtus oeconomus","microtus sitkensis"
"microtus oeconomus","microtus tshuktshorum"
"microtus oeconomus","microtus uchidae"
"microtus oeconomus","microtus unalascensis"
"microtus oeconomus","microtus yakutatensis"
"microtus oeconomus","microtus ratticeps altaicus"
"microtus oeconomus","microtus oeconomus anikini"
"microtus oeconomus","microtus oeconomus dauricus"
"microtus oeconomus","microtus operarius endoecus"
"microtus oeconomus","microtus oeconomus gilmorei"
"microtus oeconomus","microtus oeconomus hahlovi"
"microtus oeconomus","mus oeconomus kamtschaticus"
"microtus oeconomus","microtus oeconomus kjusjurensis"
"microtus oeconomus","microtus ratticeps mehelyi"
"microtus oeconomus","microtus ratticeps montiumcaelestinum"
"microtus oeconomus","microtus oeonomus naumovi"
"microtus oeconomus","microtus ratticeps petshorae"
"microtus oeconomus","microtus unalascensis popofensis"
"microtus oeconomus","microtus innuitus punukensis"
"microtus oeconomus","microtus oeconomus shantaricus"
"microtus oeconomus","arvicola ratticeps stimmingi"
"microtus oeconomus","microtus oeconomus suntaricus"
"microtus oeconomus","arvicola terrestris uralensis"
"microtus oeconomus","microtus oeconomus elymocetes"
"microtus pennsylvanicus","microtus pennsylvanicus"
"microtus pennsylvanicus","microtus nesophilus"
"microtus pennsylvanicus","microtus pennsylvanicus pennsylvanicus"
"microtus pennsylvanicus","microtus pennsylvanicus dukecampbelli"
"microtus pennsylvanicus","microtus pennsylvanicus chihuahuensis"
"microtus pennsylvanicus","microtus admiraltiae"
"microtus pennsylvanicus","arvicola alborufescens"
"microtus pennsylvanicus","microtus aphorodemus"
"microtus pennsylvanicus","arvicola dekayi"
"microtus pennsylvanicus","microtus enixus"
"microtus pennsylvanicus","microtus fontigenus"
"microtus pennsylvanicus","arvicola fulva"
"microtus pennsylvanicus","arvicola hirsutus"
"microtus pennsylvanicus","arvicola insperatus"
"microtus pennsylvanicus","microtus insularis"
"microtus pennsylvanicus","arvicola nasuta"
"microtus pennsylvanicus","lemmus noveboracensis"
"microtus pennsylvanicus","arvicola oneida"
"microtus pennsylvanicus","arvicola palustris"
"microtus pennsylvanicus","mynomes pratensis"
"microtus pennsylvanicus","microtus provectus"
"microtus pennsylvanicus","arvicola riparius"
"microtus pennsylvanicus","arvicola rufescens"
"microtus pennsylvanicus","arvicola rufidorsum"
"microtus pennsylvanicus","arvicola terraenovae"
"microtus pennsylvanicus","arvicola drummondii"
"microtus pennsylvanicus","microtus pennsylvanicus acadicus"
"microtus pennsylvanicus","microtus pennsylvanicus alcorni"
"microtus pennsylvanicus","microtus pennsylvanicus arcticus"
"microtus pennsylvanicus","microtus pennsylvanicus copelandi"
"microtus pennsylvanicus","microtus pennsylvanicus finitus"
"microtus pennsylvanicus","microtus pennsylvanicus funebris"
"microtus pennsylvanicus","microtus montanus kincaidi"
"microtus pennsylvanicus","microtus pennsylvanicus labradorius"
"microtus pennsylvanicus","arvicola riparia longipilis"
"microtus pennsylvanicus","microtus pennsylvanicus magdalenensis"
"microtus pennsylvanicus","microtus pennsylvanicus pullatus"
"microtus pennsylvanicus","microtus pennsylvanicus rubidus"
"microtus pennsylvanicus","microtus pennsilvanicus shattucki"
"microtus pennsylvanicus","microtus pennsylvanicus tananaensis"
"microtus pennsylvanicus","microtus pennsylvanicus uligocola"
"microtus pennsylvanicus","microtus pennsylvanicus wahema"
"microtus pennsylvanicus","microtus pennsylvanicus kincaidi"
"microtus pennsylvanicus","microtus pennsylvanicus provectus"
"microtus pennsylvanicus","microtus pennsylvanicus shattucki"
"microtus richardsoni","microtus richardsoni"
"microtus richardsoni","arvicola richardsoni"
"microtus richardsoni","aulacomys arvicoloides"
"microtus richardsoni","arvicola macropus"
"microtus richardsoni","microtus principalis"
"microtus richardsoni","microtus richardsoni myllodontus"
"microtus socialis","microtus socialis"
"microtus socialis","mus astrachanensis"
"microtus socialis","microtus gravesi"
"microtus socialis","microtus parvus"
"microtus socialis","hypudaeus syriacus"
"microtus socialis","microtus socialis binominatus"
"microtus socialis","chionomys socialis satunini"
"millardia meltada","millardia meltada"
"millardia meltada","mus comberi"
"millardia meltada","mus lanuginosus"
"millardia meltada","mus listoni"
"millardia meltada","millardia meltada dunni"
"millardia meltada","millardia meltada pallidior"
"millardia meltada","millardia meltada singuri"
"miniopterus africanus","miniopterus africanus"
"miniopterus ambohitrensis","miniopterus ambohitrensis"
"miniopterus australis","miniopterus australis"
"miniopterus australis","miniopterus solomonensis"
"miniopterus australis","miniopterus tibialis"
"miniopterus australis","miniopterus australis australis"
"miniopterus australis","miniopterus australis solomonensis"
"miniopterus australis","miniopterus australis tibialis"
"miniopterus fuliginosus","miniopterus fuliginosus"
"miniopterus fuliginosus","vespertilio fuliginosa"
"miniopterus fuliginosus","miniopterus schreibersii chinensis"
"miniopterus fuliginosus","miniopterus schreibersii fuliginosus"
"miniopterus fuliginosus","miniopterus schreibersii japoniae"
"miniopterus fuliginosus","miniopterus schreibersii parvipes"
"miniopterus fuscus","miniopterus fuscus"
"miniopterus gleni","miniopterus gleni"
"miniopterus griveaudi","miniopterus griveaudi"
"miniopterus griveaudi","miniopterus manavi griveaudi"
"miniopterus griveaudi","miniopterus minor griveaudi"
"miniopterus inflatus","miniopterus inflatus"
"miniopterus inflatus","miniopterus rufus"
"miniopterus inflatus","miniopterus inflatus inflatus"
"miniopterus inflatus","miniopterus inflatus rufus"
"miniopterus magnater","miniopterus magnater"
"miniopterus magnater","miniopterus macrodens"
"miniopterus magnater","miniopterus magnater magnater"
"miniopterus magnater","miniopterus magnater macrodens"
"miniopterus magnater","miniopterus schreibersii magnater"
"miniopterus mahafaliensis","miniopterus mahafaliensis"
"miniopterus manavi","miniopterus manavi"
"miniopterus manavi","miniopterus manavi manavi"
"miniopterus minor","miniopterus minor"
"miniopterus mossambicus","miniopterus mossambicus"
"miniopterus natalensis","miniopterus natalensis"
"miniopterus natalensis","miniopterus smitianus"
"miniopterus natalensis","vespertilio natalensis"
"miniopterus natalensis","vespertilio dasythrix"
"miniopterus natalensis","miniopterus natalensis natalensis"
"miniopterus natalensis","miniopterus schreibersii dasythrix"
"miniopterus natalensis","miniopterus schreibersii smitianus"
"miniopterus orianae","miniopterus orianae"
"miniopterus orianae","miniopterus schreibersii orianae"
"miniopterus pusillus","miniopterus pusillus"
"miniopterus schreibersii","miniopterus schreibersii"
"miniopterus schreibersii","miniopterus schreibersi"
"miniopterus schreibersii","vespertilio schreibersii"
"miniopterus schreibersii","vespertilio orsinii"
"miniopterus schreibersii","miniopterus schreibersii schreibersii"
"miniopterus schreibersii","miniopterus schreibersii orsinii"
"miniopterus sororculus","miniopterus sororculus"
"miopithecus ogouensis","miopithecus ogouensis"
"miopithecus talapoin","miopithecus talapoin"
"miopithecus talapoin","miopithecus capillatus"
"miopithecus talapoin","cercopithecus melarhinus"
"miopithecus talapoin","simia niger"
"miopithecus talapoin","cercopithecus pileatus"
"miopithecus talapoin","cercopithecus talapoin ansorgei"
"miopithecus talapoin","miopithecus talapoin pilettei"
"miopithecus talapoin","cercopithecus talapoin vlesschouwersi"
"mirounga angustirostris","mirounga angustirostris"
"mirounga angustirostris","macrorhinus angustirostris"
"mirounga leonina","mirounga leonina"
"mirounga leonina","mirounga leonina crosetensis"
"mirounga leonina","mirounga leonina falclandica"
"mirounga leonina","mirounga leonina macquariensis"
"mirounga leonina","phoca leonina"
"mirounga leonina","macrorhinus leoninus macquariensis"
"mirounga leonina","macrorhinus leoninus crosetensis"
"molossops neglectus","molossops neglectus"
"molossus ater","lookup fail"
"molossus coibensis","molossus coibensis"
"molossus coibensis","molossus barnesi"
"molossus currentium","molossus currentium"
"molossus currentium","molossus currentium currentium"
"molossus currentium","molossus obscurus currentium"
"molossus molossus","molossus molossus"
"molossus molossus","molossus pygmaeus"
"molossus molossus","vespertilio molossus"
"molossus molossus","molossus debilis"
"molossus molossus","molossus fortis"
"molossus molossus","molossus molossus molossus"
"molossus molossus","molossus molossus debilis"
"molossus molossus","molossus molossus pygmaeus"
"molossus molossus","molossus molossus fortis"
"molossus pretiosus","molossus pretiosus"
"molossus rufus","molossus rufus"
"molossus rufus","molossus ater"
"molossus sinaloae","molossus sinaloae"
"molossus sinaloae","molossus trinitatus"
"molossus sinaloae","molossus sinaloae sinaloae"
"molossus sinaloae","molossus sinaloae trinitatus"
"monachus monachus","monachus monachus"
"monachus monachus","phoca monachus"
"monachus monachus","phoca albiventer"
"monachus monachus","phoca bicolor"
"monachus monachus","phoca leucogaster"
"monachus monachus","phoca hermannii"
"monachus monachus","monachus mediterraneus"
"monachus monachus","phoca isidorei"
"monachus monachus","heliophoca atlantica"
"monodelphis domestica","monodelphis domestica"
"monodelphis iheringi","monodelphis iheringi"
"mops condylurus","mops condylurus"
"mops condylurus","chaerephon osborni"
"mops condylurus","nyctinomus condylurus"
"mops condylurus","mops condylurus condylurus"
"mops condylurus","mops condylurus orientis"
"mops condylurus","mops condylurus osborni"
"mops condylurus","mops condylurus wonderi"
"mops condylurus","mops angolensis wonderi"
"mops condylurus","mops angolensis orientis"
"mops leucostigma","mops leucostigma"
"mops leucostigma","chaerephon leucostigma"
"mops midas","mops midas"
"mops midas","nyctinomus miarensis"
"mops midas","dysopes midas"
"mops midas","mops midas midas"
"mops midas","mops midas miarensis"
"mormoops megalophylla","mormoops megalophylla"
"mormopterus acetabulosus","mormopterus acetabulosus"
"mormopterus acetabulosus","vespertilio acetabulosus"
"mormopterus jugularis","mormopterus jugularis"
"mormopterus jugularis","nyctinomus jugularis"
"moschus berezovskii","moschus berezovskii"
"moschus chrysogaster","moschus chrysogaster"
"mungos mungo","mungos mungo"
"muntiacus muntjak","muntiacus muntjak"
"muntiacus reevesi","muntiacus reevesi"
"murina aenea","murina aenea"
"murina aurata","murina aurata"
"murina cyclotis","murina cyclotis"
"murina cyclotis","murina eileenae"
"murina cyclotis","murina cyclotis cyclotis"
"murina cyclotis","murina cyclotis eileenae"
"murina leucogaster","murina leucogaster"
"murina ussuriensis","murina ussuriensis"
"mus baoulei","mus baoulei"
"mus booduga","mus booduga"
"mus booduga","mus albidiventris"
"mus booduga","mus fulvidiventris"
"mus booduga","leggada lepidoides"
"mus bufo","mus bufo"
"mus caroli","mus caroli"
"mus caroli","mus formosanus"
"mus caroli","mus kurilensis"
"mus cervicolor","mus cervicolor"
"mus cervicolor","mus cunicularis"
"mus cervicolor","mus strophiatus"
"mus cervicolor","tautatus thai annamensis"
"mus cervicolor","leggada nitidula popaea"
"mus cookii","mus cookii"
"mus cookii","mus darjilingensis"
"mus cookii","leggada nagarum"
"mus cookii","leggada palnica"
"mus cookii","leggada rahengis"
"mus cookii","tautatus thai"
"mus mattheyi","mus mattheyi"
"mus minutoides","mus minutoides"
"mus minutoides","mus minimus"
"mus musculoides","mus musculoides"
"mus musculoides","mus kasaicus"
"mus musculoides","leggada bella"
"mus musculoides","leggada grata"
"mus musculoides","mus bellus enclavae"
"mus musculoides","mus bellus gondokorae"
"mus musculoides","mus bellus petilus"
"mus musculoides","mus gratus soricoides"
"mus musculoides","mus gratus sungarae"
"mus musculoides","leggada bella vicina"
"mus musculus","mus musculus"
"mus musculus","mus molossinus"
"mus musculus","mus nordmanni"
"mus musculus","mus musculus cinereomaculatus"
"mus musculus","mus bactrianus tantillus"
"mus musculus","mus musculus varius"
"mus musculus","mus molossinus yonakuni"
"mus pahari","mus pahari"
"mus pahari","leggada jacksoniae"
"mus pahari","leggada pahari gairdneri"
"mus pahari","leggada cookii meator"
"mus setulosus","mus setulosus"
"mus spicilegus","mus spicilegus"
"mus spicilegus","mus sergii"
"mus spretus","mus spretus"
"mus spretus","mus spicilegus caoccii"
"mus spretus","mus spicilegus hispanicus"
"mus spretus","mus spicilegus lusitanicus"
"mus spretus","mus spicilegus lynesi"
"mus spretus","mus spicilegus mogrebinus"
"mus spretus","mus spicilegus rifensis"
"mus terricolor","mus terricolor"
"mus terricolor","mus beavanii"
"mus terricolor","leggada dunni"
"mus triton","mus triton"
"mus triton","leggada naivashae"
"mus triton","leggada triton murilla"
"muscardinus avellanarius","muscardinus avellanarius"
"muscardinus avellanarius","mus corilinum"
"muscardinus avellanarius","myoxus muscardinus"
"muscardinus avellanarius","muscardinus pulcher"
"muscardinus avellanarius","myoxus speciosus"
"muscardinus avellanarius","muscardinus trapezius"
"muscardinus avellanarius","muscardinus avellanarius anglicus"
"muscardinus avellanarius","muscardinus avellanarius niveus"
"muscardinus avellanarius","muscardinus avellanarius zeus"
"muscardinus avellanarius","muscardinus avellanarius abanticus"
"mustela erminea","mustela erminea"
"mustela frenata","mustela frenata"
"mustela kathiah","mustela kathiah"
"mustela lutreola","mustela lutreola"
"mustela nigripes","mustela nigripes"
"mustela nigripes","putorius nigripes"
"mustela nivalis","mustela nivalis"
"mustela putorius","mustela putorius"
"mustela sibirica","mustela sibirica"
"myocastor coypus","myocastor coypus"
"myocastor coypus","myocaster coypus"
"myodes gapperi","myodes gapperi"
"myodes gapperi","clethrionomys gapperi"
"myodes gapperi","evotomys carolinensis"
"myodes gapperi","evotomys caurinus"
"myodes gapperi","evotomys fuscodorsalis"
"myodes gapperi","evotomys galei"
"myodes gapperi","evotomys idahoensis"
"myodes gapperi","evotomys limitis"
"myodes gapperi","evotomys nivarius"
"myodes gapperi","evotomys phaeus"
"myodes gapperi","evotomys proteus"
"myodes gapperi","evotomys pygmaeus"
"myodes gapperi","evotomys ungava"
"myodes gapperi","evotomys wrangeli"
"myodes gapperi","evotomys occidentalis"
"myodes gapperi","clethrionomys gapperi arizonensis"
"myodes gapperi","evotomys gapperi athabascae"
"myodes gapperi","evotomys gapperi brevicaudus"
"myodes gapperi","clethrionomys gapperi cascadensis"
"myodes gapperi","clethrionomys gapperi gaspeanus"
"myodes gapperi","clethrionomys gapperi gauti"
"myodes gapperi","clethrionomys gapperi hudsonius"
"myodes gapperi","evotomys gapperi loringi"
"myodes gapperi","clethrionomys gapperi maurus"
"myodes gapperi","evotomys gapperi ochraceus"
"myodes gapperi","clethrionomys gapperi pallescens"
"myodes gapperi","clethrionomys gapperi paludicola"
"myodes gapperi","evotomys gapperi rhoadsii"
"myodes gapperi","clethrionomys gapperi rufescens"
"myodes gapperi","clethrionomys gapperi rupicola"
"myodes gapperi","evotomys gapperi saturatus"
"myodes gapperi","clethrionomys gapperi soleus"
"myodes gapperi","clethrionomys gapperi stikinensis"
"myodes gapperi","clethrionomys gapperi uintaensis"
"myodes gapperi","clethrionomys gapperi solus"
"myodes glareolus","myodes glareolus"
"myodes glareolus","clethrionomys glareolus"
"myodes glareolus","evotomys alstoni"
"myodes glareolus","lemmus arvalis"
"myodes glareolus","myodes bicolor"
"myodes glareolus","evotomys caesarius"
"myodes glareolus","evotomys erica"
"myodes glareolus","arvicola fulvus"
"myodes glareolus","evotomys gorka"
"myodes glareolus","hypudacus hercynicus"
"myodes glareolus","hypudaeus nageri"
"myodes glareolus","evotomys norvegicus"
"myodes glareolus","evotomys ponticus"
"myodes glareolus","lemmus pratensis"
"myodes glareolus","arvicola pratensis"
"myodes glareolus","arvicola riparia"
"myodes glareolus","lemmus rubidus"
"myodes glareolus","evotomys skomerensis"
"myodes glareolus","evotomys vasconiae"
"myodes glareolus","evotomys hercynicus britannicus"
"myodes glareolus","evotomys nageri hallucalis"
"myodes glareolus","evotomys hercynicus helveticus"
"myodes glareolus","clethrionomys glareolus insulaebellae"
"myodes glareolus","evotomys glareolus intermedius"
"myodes glareolus","evotomys glareolus istericus"
"myodes glareolus","evotomys glareolus italicus"
"myodes glareolus","evotomys glareolus jurassicus"
"myodes glareolus","mus rutilus minor"
"myodes glareolus","evotomys glareolus ognevi"
"myodes glareolus","evotomys glareolus reinwaldti"
"myodes glareolus","evotomys glareolus ruttneri"
"myodes glareolus","evotomys glareolus saianicus"
"myodes glareolus","evotomys glareolus sobrus"
"myodes glareolus","evotomys hercynicus suecicus"
"myodes glareolus","evotomys nageri vesanus"
"myodes glareolus","evotomys glareolus wasjuganensis"
"myodes regulus","myodes regulus"
"myodes regulus","eothenomys regulus"
"myodes rufocanus","myodes rufocanus"
"myodes rufocanus","clethrionomys rufocanus"
"myodes rufocanus","clethrionomys sikotanensis"
"myodes rufocanus","evotomys arsenjevi"
"myodes rufocanus","evotomys bedfordiae"
"myodes rufocanus","evotomys irkutensis"
"myodes rufocanus","arvicola kamtnschaticus"
"myodes rufocanus","evotomys kolymensis"
"myodes rufocanus","evotomys latastei"
"myodes rufocanus","neoaschizomys sikotanensis"
"myodes rufocanus","arvicola wosnessenskii"
"myodes rufocanus","clethrionomys yesomontanus"
"myodes rufocanus","craseomys rufocanus bargusinensis"
"myodes rufocanus","clethrionomys rufocanus kurilensis"
"myodes rutilus","myodes rutilus"
"myodes rutilus","clethrionomys rutilus"
"myodes rutilus","evotomys alascensis"
"myodes rutilus","clethrionomys albiventer"
"myodes rutilus","arvicola amurensis"
"myodes rutilus","evotomys baikalensis"
"myodes rutilus","evotomys dawsoni"
"myodes rutilus","evotomys jochelsoni"
"myodes rutilus","evotomys laticeps"
"myodes rutilus","evotomys mikado"
"myodes rutilus","microtus mollessonae"
"myodes rutilus","evotomys orca"
"myodes rutilus","evotomys parvidens"
"myodes rutilus","arvicola russatus"
"myodes rutilus","clethrionomys rutilus dorogostaiskii"
"myodes rutilus","clethrionomys dawsoni glacialis"
"myodes rutilus","clethrionomys rutilus hintoni"
"myodes rutilus","evotomys dawsoni insularis"
"myodes rutilus","evotomys rutilus jacutensis"
"myodes rutilus","clethrionomys rutilus latigriseus"
"myodes rutilus","evotomys rutilus lenaensis"
"myodes rutilus","clethrionomys rutilis platycephalus"
"myodes rutilus","clethrionomys rutilus rossicus"
"myodes rutilus","evotomys rutilus salairicus"
"myodes rutilus","clethrionomys rutilus tugarinovi"
"myodes rutilus","clethrionomys rutilus uralensis"
"myodes rutilus","evotomys rutilus vinogradovi"
"myodes rutilus","clethrionomys rutilus washburni"
"myodes rutilus","clethrionomys rutilus watsoni"
"myomimus roachi","myomimus roachi"
"myomimus roachi","myomimus bulgaricus"
"myonycteris torquata","myonycteris torquata"
"myonycteris torquata","cynonycteris torquata"
"myoprocta acouchy","myoprocta acouchy"
"myoprocta acouchy","myoprocta exilis"
"myosorex geata","myosorex geata"
"myosorex zinki","lookup fail"
"myotis albescens","myotis albescens"
"myotis albescens","vespertilio albescens"
"myotis alcathoe","myotis alcathoe"
"myotis altarium","myotis altarium"
"myotis austroriparius","myotis austroriparius"
"myotis austroriparius","vespertilio lucifugus austroriparius"
"myotis bechsteinii","myotis bechsteinii"
"myotis bechsteinii","myotis bechsteini"
"myotis bechsteinii","vespertilio bechsteinii"
"myotis blythii","myotis blythii"
"myotis blythii","myotis oxygnathus"
"myotis blythii","vespertilio blythii"
"myotis blythii","vespertilio oxygnathus"
"myotis blythii","myotis blythii blythii"
"myotis blythii","myotis blythii ancilla"
"myotis blythii","myotis blythii lesviacus"
"myotis blythii","myotis blythii omari"
"myotis blythii","myotis myosotis ancilla"
"myotis blythii","myotis myotis omari"
"myotis brandtii","myotis brandtii"
"myotis brandtii","myotis brandti"
"myotis brandtii","vespertilio brandtii"
"myotis brandtii","myotis brandtii brandtii"
"myotis californicus","myotis californicus"
"myotis capaccinii","myotis capaccinii"
"myotis capaccinii","vespertilio capaccinii"
"myotis chiloensis","myotis chiloensis"
"myotis chiloensis","myotis aelleni"
"myotis chiloensis","vespertilio chiloensis"
"myotis chinensis","myotis chinensis"
"myotis chinensis","vespertilio chinensis"
"myotis ciliolabrum","myotis ciliolabrum"
"myotis ciliolabrum","myotis melanorhinus"
"myotis ciliolabrum","vespertilio ciliolabrum"
"myotis ciliolabrum","vespertilio melanorhinus"
"myotis dasycneme","myotis dasycneme"
"myotis dasycneme","vespertilio dasycneme"
"myotis daubentonii","myotis daubentonii"
"myotis daubentonii","myotis daubentoni"
"myotis daubentonii","vespertilio daubentonii"
"myotis daubentonii","vespertilio volgensis"
"myotis daubentonii","myotis nathalinae"
"myotis daubentonii","myotis daubentonii daubentonii"
"myotis daubentonii","myotis daubentonii nathalinae"
"myotis daubentonii","myotis daubentonii volgensis"
"myotis davidii","myotis davidii"
"myotis davidii","myotis hajastanicus"
"myotis davidii","vespertilio davidii"
"myotis davidii","myotis nipalensis przewalskii"
"myotis davidii","myotis nipalensis transcaspicus"
"myotis davidii","myotis mystacinus hajastanicus"
"myotis davidii","myotis mystacinus przewalskii"
"myotis davidii","myotis mystacinus transcaspicus"
"myotis davidii","myotis aurascens"
"myotis emarginatus","myotis emarginatus"
"myotis emarginatus","myotis emarginatus turcomanicus"
"myotis escalerai","myotis escalerai"
"myotis evotis","myotis evotis"
"myotis fimbriatus","myotis fimbriatus"
"myotis fimbriatus","vespertilio fimbriatus"
"myotis flavus","lookup fail"
"myotis formosus","myotis formosus"
"myotis frater","myotis frater"
"myotis frater","myotis frater frater"
"myotis goudoti","myotis goudoti"
"myotis goudoti","myotis goudoti"
"myotis goudoti","vespertilio goudotii"
"myotis grisescens","myotis grisescens"
"myotis horsfieldii","myotis horsfieldii"
"myotis ikonnikovi","myotis ikonnikovi"
"myotis ikonnikovi","myotis hosonoi"
"myotis ikonnikovi","myotis ozensis"
"myotis ikonnikovi","myotis yesoensis"
"myotis keaysi","myotis keaysi"
"myotis keaysi","myotis keaysi keaysi"
"myotis keaysi","myotis ruber keaysi"
"myotis keenii","myotis keenii"
"myotis keenii","vespertilio subulatus keenii"
"myotis laniger","myotis laniger"
"myotis laniger","vespertilio laniger"
"myotis leibii","myotis leibii"
"myotis leibii","vespertilio leibii"
"myotis levis","myotis levis"
"myotis levis","vespertilio levis"
"myotis levis","myotis levis levis"
"myotis longipes","myotis longipes"
"myotis longipes","vespertilio longipes"
"myotis lucifugus","myotis lucifugus"
"myotis macrodactylus","myotis macrodactylus"
"myotis macropus","myotis macropus"
"myotis macropus","vespertilio macropus"
"myotis macropus","myotis moluccarum richardsi"
"myotis muricola","myotis muricola"
"myotis muricola","vespertilio muricola"
"myotis muricola","myotis niasensis"
"myotis muricola","myotis muricola muricola"
"myotis muricola","myotis muricola niasensis"
"myotis myotis","myotis myotis"
"myotis mystacinus","myotis mystacinus"
"myotis nattereri","myotis nattereri"
"myotis nattereri","vespertilio nattereri"
"myotis nattereri","myotis nattereri nattereri"
"myotis nigricans","myotis nigricans"
"myotis oxygnathus","lookup fail"
"myotis oxyotus","myotis oxyotus"
"myotis pequinius","myotis pequinius"
"myotis petax","myotis petax"
"myotis petax","myotis abei"
"myotis petax","myotis daubentonii chasanensis"
"myotis petax","myotis daubentonii petax"
"myotis punicus","myotis punicus"
"myotis punicus","myotis blythi punicus"
"myotis ricketti","lookup fail"
"myotis riparius","myotis riparius"
"myotis riparius","myotis simus riparius"
"myotis septentrionalis","myotis septentrionalis"
"myotis septentrionalis","vespertilio gryphus septentrionalis"
"myotis siligorensis","myotis siligorensis"
"myotis siligorensis","vespertilio siligorensis"
"myotis siligorensis","myotis siligorensis siligorensis"
"myotis thysanodes","myotis thysanodes"
"myotis velifer","myotis velifer"
"myotis volans","myotis volans"
"myotis welwitschii","myotis welwitschii"
"myotis welwitschii","scotophilus welwitschii"
"myotis yumanensis","myotis yumanensis"
"myotomys unisulcatus","myotomys unisulcatus"
"myotomys unisulcatus","otomys unisulcatus"
"myotomys unisulcatus","otomys broomi"
"myotomys unisulcatus","myotomys unisulcatus albaniensis"
"myotomys unisulcatus","otomys unisulcatus bergensis"
"myotomys unisulcatus","otomys unisulcatus grantii"
"myrmecophaga tridactyla","myrmecophaga tridactyla"
"mystacina tuberculata","mystacina tuberculata"
"naemorhedus goral","naemorhedus goral"
"nandinia binotata","nandinia binotata"
"nanger granti","nanger granti"
"nanger granti","gazella granti"
"nanonycteris veldkampii","nanonycteris veldkampii"
"nanonycteris veldkampii","nanonycteris veldkampi"
"nanonycteris veldkampii","epomophorus veldkampii"
"napaeozapus insignis","napaeozapus insignis"
"napaeozapus insignis","zapus insignis abietorum"
"napaeozapus insignis","napaeozapus insignis frutectanus"
"napaeozapus insignis","napaeozapus insignis algonquinensis"
"napaeozapus insignis","napaeozapus insignis gaspensis"
"napaeozapus insignis","zapus insignis roanensis"
"napaeozapus insignis","napaeozapus insignis saguenayensis"
"nasalis larvatus","nasalis larvatus"
"nasalis larvatus","simia capistratus"
"nasalis larvatus","cercopithecus nasica"
"nasalis larvatus","nasalis recurvus"
"nasalis larvatus","nasalis larvatus orientalis"
"nasua narica","nasua narica"
"nasua nasua","nasua nasua"
"natalus stramineus","natalus stramineus"
"natalus stramineus","natalus stramineus stramineus"
"natalus tumidirostris","natalus tumidirostris"
"natalus tumidirostris","natalus tumidirostris tumidirostris"
"natalus tumidirostris","natalus stramineus tronchonii"
"natalus tumidirostris","natalus tumidirostris continentis"
"natalus tumidirostris","natalus tumidirostris haymani"
"natalus tumidirostris","phodotes tumidirostris continentis"
"neacomys guianae","neacomys guianae"
"neacomys musseri","neacomys musseri"
"neacomys spinosus","neacomys spinosus"
"necromys benefactus","necromys benefactus"
"necromys lasiurus","necromys lasiurus"
"necromys lasiurus","bolomys lasiurus"
"necromys lasiurus","hesperomys brachyurus"
"necromys lasiurus","akodon fuscinus"
"necromys lasiurus","zygodontomys pixuna"
"necromys obscurus","necromys obscurus"
"necromys obscurus","bolomys obscurus"
"nectomys squamipes","nectomys squamipes"
"neodon clarkei","lookup fail"
"neodon leucurus","neodon leucurus"
"neodon leucurus","microtus leucurus"
"neodon leucurus","phaiomys leucurus"
"neodon leucurus","arvicola blythi"
"neodon leucurus","phaiomys everesti"
"neodon leucurus","microtus strauchi"
